User Story DB,이름,마감 날짜,상태,작업 날짜,작업자,카테고리
맵 생성 알고리즘 개선 (%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%89%E1%85%A5%E1%86%AB%201d4c47c7ac2d80cb9130e9e0b449c736.md)," 계단 있는 룸 만들기 및 알고리즘 추가",2025년 4월 1일,시작 전,,"민영, 세찬",
맵 생성 알고리즘 개선 (%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%89%E1%85%A5%E1%86%AB%201d4c47c7ac2d80cb9130e9e0b449c736.md),방 생성될때 내부적으로 안으로 돌아서 문제가 됨,2025년 4월 1일,완료,,세찬,
맵 생성 알고리즘 개선 (%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%89%E1%85%A5%E1%86%AB%201d4c47c7ac2d80cb9130e9e0b449c736.md)," SelectedDoor가 하나에서 2개 이상이 되게끔 개선",2025년 4월 1일,완료,,세찬,
